"clistingid","ilanguageid","csku","icategory","ccreateuser","dcreatedate"
"9805db58-d8c9-1004-8a97-438cca05a146",null,"H1038","79",null,"2015-02-07 00:00:00"
"98073b4c-d8c9-1004-8a97-438cca05a146",null,"H1037","77",null,"2015-02-07 00:00:00"
"98073b4c-d8c9-1004-8a97-438cca05a146",null,"H1037","79",null,"2015-02-07 00:00:00"
"98084cbc-d8c9-1004-8a97-438cca05a146",null,"h1036","77",null,"2015-02-07 00:00:00"
"98084cbc-d8c9-1004-8a97-438cca05a146",null,"h1036","79",null,"2015-02-07 00:00:00"
"9809371c-d8c9-1004-8a97-438cca05a146",null,"H1237","77",null,"2015-02-07 00:00:00"
"9809371c-d8c9-1004-8a97-438cca05a146",null,"H1237","79",null,"2015-02-07 00:00:00"
"9809371c-d8c9-1004-8a97-438cca05a146",null,"H1237","283",null,"2015-02-07 00:00:00"
"980a217c-d8c9-1004-8a97-438cca05a146",null,"H1127W","77",null,"2015-02-07 00:00:00"
"980a217c-d8c9-1004-8a97-438cca05a146",null,"H1127W","79",null,"2015-02-07 00:00:00"
"980b32ec-d8c9-1004-8a97-438cca05a146",null,"H1118R","77",null,"2015-02-07 00:00:00"
"980b32ec-d8c9-1004-8a97-438cca05a146",null,"H1118R","79",null,"2015-02-07 00:00:00"
"980c1d4c-d8c9-1004-8a97-438cca05a146",null,"H1117","77",null,"2015-02-07 00:00:00"
"980c1d4c-d8c9-1004-8a97-438cca05a146",null,"H1117","79",null,"2015-02-07 00:00:00"
"980c1d4c-d8c9-1004-8a97-438cca05a146",null,"H1117","283",null,"2015-02-07 00:00:00"
"980d07ac-d8c9-1004-8a97-438cca05a146",null,"H1116","77",null,"2015-02-07 00:00:00"
"980d07ac-d8c9-1004-8a97-438cca05a146",null,"H1116","79",null,"2015-02-07 00:00:00"
"980d07ac-d8c9-1004-8a97-438cca05a146",null,"H1116","283",null,"2015-02-07 00:00:00"
"980dcafc-d8c9-1004-8a97-438cca05a146",null,"H1114","10",null,"2015-02-07 00:00:00"
"980dcafc-d8c9-1004-8a97-438cca05a146",null,"H1114","22",null,"2015-02-07 00:00:00"
"980f2a8c-d8c9-1004-8a97-438cca05a146",null,"H1113","77",null,"2015-02-07 00:00:00"
"980f2a8c-d8c9-1004-8a97-438cca05a146",null,"H1113","79",null,"2015-02-07 00:00:00"
"980f2a8c-d8c9-1004-8a97-438cca05a146",null,"H1113","283",null,"2015-02-07 00:00:00"
"98103bfc-d8c9-1004-8a97-438cca05a146",null,"H1112","77",null,"2015-02-07 00:00:00"
"98103bfc-d8c9-1004-8a97-438cca05a146",null,"H1112","79",null,"2015-02-07 00:00:00"
"98103bfc-d8c9-1004-8a97-438cca05a146",null,"H1112","283",null,"2015-02-07 00:00:00"
"9811265c-d8c9-1004-8a97-438cca05a146",null,"H1110","77",null,"2015-02-07 00:00:00"
"9811265c-d8c9-1004-8a97-438cca05a146",null,"H1110","79",null,"2015-02-07 00:00:00"
"9811265c-d8c9-1004-8a97-438cca05a146",null,"H1110","283",null,"2015-02-07 00:00:00"
"981210bc-d8c9-1004-8a97-438cca05a146",null,"H1108","77",null,"2015-02-07 00:00:00"
"981210bc-d8c9-1004-8a97-438cca05a146",null,"H1108","79",null,"2015-02-07 00:00:00"
